BusStopCode,RoadName,Description,Latitude,Longitude,planning_area
24011,Jln Ahmad Ibrahim,M.C. Packaging Pte Ltd,1.32230923979842,103.6776263194759,PIONEER
24019,Jln Ahmad Ibrahim,Liang Huat Ind Cplx,1.32288721900936,103.6772820679354,PIONEER
24021,Jln Ahmad Ibrahim,Meritor Heavy Veh Systems,1.32185257239826,103.67087977752024,PIONEER
24029,Jln Ahmad Ibrahim,Mazak S'pore,1.3224709639188,103.67132658072524,PIONEER
24041,Upp Jurong Rd,Opp Pasir Laba Camp,1.33035313055333,103.67499316670492,PIONEER
24049,Upp Jurong Rd,Pasir Laba Camp,1.33094144977498,103.67379074701834,WESTERN WATER CATCHMENT
24089,Gul Way,Aft Gul Ave,1.31445576142607,103.67069001700852,PIONEER
24129,Joo Koon Way,Opp Yeow San Pte Ltd,1.32614180600676,103.66987144292962,PIONEER
24139,Joo Koon Circle,Opp Toyo Ink,1.32733592150747,103.67193012673827,PIONEER
24149,Joo Koon Circle,Aft Joo Koon Cres,1.32754011144327,103.67466321781173,PIONEER
24159,Joo Koon Circle,Aft Joo Koon Rd,1.3268422233348,103.67664244711858,PIONEER
24169,Gul Cres,Bef Gul Circle,1.31038624703757,103.66671593002816,PIONEER
24179,Gul Cres,Opp Hong Hock Hardware,1.30940312319597,103.66477126222463,PIONEER
24189,Gul Cres,Tai Sin Electric Cables,1.31116229073472,103.6619380811675,PIONEER
24199,Gul Cres,JB Ind Pte Ltd,1.31308152323838,103.65993666344218,PIONEER
24209,Gul Cres,Aft Gul Lane,1.31523764085318,103.6598693200974,PIONEER
24219,Gul Circle,Precision Products,1.31822701576325,103.66267154250264,PIONEER
24229,Gul Circle,Aft Gul St 3,1.31953778109044,103.66615348821183,PIONEER
24239,Gul Circle,Bef Gul St 1,1.31979166699662,103.6690038889689,PIONEER
24249,Gul Circle,Asiatic Agricultural Ind,1.3200141711372,103.67231073811736,PIONEER
24259,Gul Circle,DNV GL Laboratory,1.32022430366593,103.6756285744157,PIONEER
24269,Gul Circle,Sing Huat Hardware,1.31796007151086,103.67660828077692,PIONEER
24279,Gul Circle,Cameron Iron Works,1.31480277476233,103.6767463061916,PIONEER
24289,Gul Circle,Opp Keppel T&T,1.31240457504935,103.674858525035,PIONEER
24299,Gul Circle,Aft Gul Way,1.31215859373419,103.67165007095036,PIONEER
24301,Gul Circle,SNL Logistics Pte Ltd,1.31260985884793,103.66584908540896,PIONEER
24331,Pioneer Rd,Opp Hong Hang Bldg,1.30854833300657,103.66868333299612,PIONEER
24339,Pioneer Rd,Hong Hang Bldg,1.30840666698801,103.66899333300486,PIONEER
24341,Gul Rd,Opp Keppel Shipyard,1.29559624794118,103.67069575266142,PIONEER
24349,Gul Rd,Keppel Shipyard,1.29557792043984,103.67091644467769,PIONEER
24351,Gul Rd,Opp S'pore Takada Ind,1.29811763317717,103.6683905248493,PIONEER
24359,Gul Rd,S'pore Takada Ind,1.29822556407932,103.66853349337184,PIONEER
24369,Gul Rd,Dyna-Mac Engrg Svcs,1.30077687663858,103.66698326196403,PIONEER
24379,Gul Rd,Opp Asia Ind Gases,1.30366277967429,103.66588434674222,PIONEER
24381,Gul Rd,GE Keppel Energy Svcs,1.3068880559927,103.66532722200752,PIONEER
24389,Gul Rd,Opp GE Keppel Energy Svcs,1.30668431065764,103.66551563876423,PIONEER
24391,Pioneer Sector 2,Chem-Solv Technologies,1.29859319877639,103.66447101698635,PIONEER
24401,Pioneer Sector 2,Opp Hoe Huat Engrg,1.30031638897466,103.6635577779868,PIONEER
24411,Pioneer Sector 2,Gul Camp,1.30243777798816,103.661733611007,PIONEER
24421,Pioneer Sector 2,Bef Pioneer Sector 1,1.30463277796645,103.65950611101404,PIONEER
24431,Pioneer Sector 1,Aft Pioneer Sector 2,1.30726611103183,103.6576999999841,PIONEER
24441,Pioneer Sector 3,GSK,1.30713498253909,103.66096830094708,PIONEER
24451,Pioneer Sector 3,Opp Cambridge Ind Trust,1.30599340060276,103.66378722029442,PIONEER
